model_name,is_class,DNN_type
31880720,1,FCNN
33969059,0,FCNN
34311586,1,FCNN
34673164,1,FCNN
41596619,1,FCNN
41823068,1,FCNN
41999686,1,FCNN
42472447,1,FCNN
43055289,1,CNN
44164749,1,FCNN
44755431,1,CNN
44758894,1,FCNN
45378493,1,CNN
45442843,0,FCNN
46247619,0,CNN
46359741,1,FCNN
46869312,1,FCNN
47241622,1,LSTM
47704695,1,CNN
47735201,1,CNN
48221692,0,FCNN
48251943,0,FCNN
48385830,1,FCNN
48486598,0,FCNN
48976413,0,FCNN
49583466,1,FCNN
50306988,1,FCNN
50338865,1,LSTM
50555434,0,FCNN
50914860,1,CNN
51185079,1,FCNN
51581521,1,FCNN
51749207,1,CNN
51901386,1,CNN
51930566,1,FCNN
52566823,0,FCNN
52983831,1,RNN
53700537,1,CNN
53749895,0,FCNN
54064299,1,CNN
54282951,1,CNN
54738769,0,FCNN
54811239,0,LSTM
55198221,1,CNN
55328966,1,FCNN
56218256,1,FCNN
56317174,0,FCNN
56452176,0,FCNN
56774954,1,FCNN
56888491,1,FCNN
57326611,1,FCNN
57397440,1,FCNN
57407973,1,FCNN
57516678,1,LSTM
57943425,1,CNN
58043002,1,CNN
58051767,1,FCNN
58055105,1,FCNN
58064701,1,FCNN
58333926,1,CNN
58392266,1,FCNN
58572274,1,FCNN
58844149,1,CNN
59078187,0,FCNN
59278771,1,FCNN
59758722,0,FCNN
60355380,1,CNN
60508218,1,CNN
60574843,0,RNN
60766775,0,FCNN
60801900,1,FCNN
60831731,0,FCNN
60874661,1,CNN
61234347,1,FCNN
61274792,1,LSTM
61498304,1,CNN
61763616,1,CNN
61886777,1,CNN
61997645,1,RNN
62055783,1,CNN
62068109,1,CNN
62313327,0,FCNN
62440336,1,LSTM
62957334,1,CNN
63212385,1,CNN
64237179,1,CNN
64387251,1,FCNN
64395424,1,FCNN
64413907,1,LSTM
65669308,1,FCNN
65777704,1,FCNN
66087653,1,FCNN
66235657,1,CNN
66407123,1,FCNN
66602662,1,FCNN
66840108,1,FCNN
67529687,1,CNN
68101077,1,FCNN
68321264,1,CNN
68458462,0,FCNN
68701979,1,FCNN
68751439,1,FCNN
68773774,1,FCNN
68938619,1,LSTM
69787272,1,FCNN
69901379,0,FCNN
70148149,1,CNN
70589997,1,CNN
70650848,1,FCNN
